budget_type,vacation_type,travel_mode,destination_chosen
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Milan
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Rome
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Plane,Milan
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Berlin
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Chisinau
Medium,Urban Entertainment & Nightlife,Train,Birmingham
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Medium,Urban Entertainment & Nightlife,Plane,Milan
Medium,Urban Entertainment & Nightlife,Plane,Cardiff
Medium,Nature & Outdoor Adventure,Train,Saint Petersburg
Cheap,Urban Entertainment & Nightlife,Train,Berlin
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Vienna
Medium,Urban Entertainment & Nightlife,Train,Cardiff
Cheap,Urban Entertainment & Nightlife,Train,London
Medium,Cultural & Historical Exploration,Plane,Milan
Cheap,Cultural & Historical Exploration,Train,Zagreb
Cheap,Cultural & Historical Exploration,Train,Sofia
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Nottingham
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Cultural & Historical Exploration,Train,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Expensive,Nature & Outdoor Adventure,Plane,Prague
Cheap,Urban Entertainment & Nightlife,Train,Chisinau
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Nature & Outdoor Adventure,Train,Bristol
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Rome
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Kyiv
Expensive,Cultural & Historical Exploration,Plane,Paris
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Cultural & Historical Exploration,Plane,Munich
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Cheap,Urban Entertainment & Nightlife,Train,Birmingham
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Plane,Riga
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Cultural & Historical Exploration,Plane,Prague
Cheap,Relaxation & Wellness,Plane,Vienna
Medium,Cultural & Historical Exploration,Plane,Prague
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Lisbon
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Train,Milan
Cheap,Cultural & Historical Exploration,Train,Riga
Medium,Cultural & Historical Exploration,Plane,Milan
Medium,Urban Entertainment & Nightlife,Plane,Milan
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Bristol
Cheap,Urban Entertainment & Nightlife,Train,Manchester
Medium,Urban Entertainment & Nightlife,Plane,Manchester
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Nature & Outdoor Adventure,Train,Geneva
Cheap,Relaxation & Wellness,Plane,Tbilisi
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Bristol
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Train,Kyiv
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Cultural & Historical Exploration,Train,Baku
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Urban Entertainment & Nightlife,Train,Sarajevo
Medium,Urban Entertainment & Nightlife,Plane,Manchester
Cheap,Urban Entertainment & Nightlife,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Paris
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Cultural & Historical Exploration,Plane,Vienna
Medium,Cultural & Historical Exploration,Plane,Madrid
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Urban Entertainment & Nightlife,Plane,Cardiff
Medium,Urban Entertainment & Nightlife,Plane,Milan
Expensive,Cultural & Historical Exploration,Plane,Rome
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Cultural & Historical Exploration,Plane,Paris
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Expensive,Cultural & Historical Exploration,Plane,Basel
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Train,Copenhagen
Medium,Nature & Outdoor Adventure,Train,Warsaw
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Plane,Ljubljana
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Munich
Medium,Urban Entertainment & Nightlife,Train,Belfast
Cheap,Relaxation & Wellness,Train,Belfast
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Urban Entertainment & Nightlife,Train,Manchester
Medium,Urban Entertainment & Nightlife,Plane,Milan
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Train,Leeds
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Belgrade
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Tirana
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Rome
Medium,Urban Entertainment & Nightlife,Train,Milan
Expensive,Cultural & Historical Exploration,Train,Manchester
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Train,Belfast
Medium,Urban Entertainment & Nightlife,Plane,Nottingham
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Urban Entertainment & Nightlife,Train,Tirana
Expensive,Cultural & Historical Exploration,Plane,Oslo
Medium,Nature & Outdoor Adventure,Train,Leicester
Medium,Urban Entertainment & Nightlife,Train,Dublin
Medium,Urban Entertainment & Nightlife,Train,Antwerp
Cheap,Relaxation & Wellness,Plane,Munich
Expensive,Nature & Outdoor Adventure,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Nottingham
Expensive,Cultural & Historical Exploration,Plane,Rome
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Urban Entertainment & Nightlife,Train,Dublin
Medium,Nature & Outdoor Adventure,Train,Saint Petersburg
Medium,Urban Entertainment & Nightlife,Plane,Manchester
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Medium,Urban Entertainment & Nightlife,Train,Madrid
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Cultural & Historical Exploration,Plane,Budapest
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Dublin
Cheap,Urban Entertainment & Nightlife,Train,Belfast
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Istanbul
Cheap,Relaxation & Wellness,Plane,Istanbul
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Cultural & Historical Exploration,Plane,Madrid
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Cardiff
Medium,Cultural & Historical Exploration,Plane,Budapest
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Plane,Antwerp
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Nature & Outdoor Adventure,Train,Belfast
Medium,Nature & Outdoor Adventure,Train,Athens
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Relaxation & Wellness,Plane,Basel
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Sarajevo
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Cultural & Historical Exploration,Plane,Madrid
Cheap,Urban Entertainment & Nightlife,Train,Belgrade
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Medium,Nature & Outdoor Adventure,Train,Coventry
Cheap,Nature & Outdoor Adventure,Train,Baku
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Sarajevo
Expensive,Cultural & Historical Exploration,Plane,London
Expensive,Cultural & Historical Exploration,Train,Glasgow
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Expensive,Relaxation & Wellness,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Medium,Urban Entertainment & Nightlife,Train,Antwerp
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Newcastle upon Tyne
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,London
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Medium,Cultural & Historical Exploration,Plane,Budapest
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Train,Glasgow
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Cultural & Historical Exploration,Plane,Munich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Kyiv
Expensive,Nature & Outdoor Adventure,Plane,Antwerp
Medium,Urban Entertainment & Nightlife,Plane,Newcastle upon Tyne
Expensive,Nature & Outdoor Adventure,Train,Zürich
Medium,Urban Entertainment & Nightlife,Train,Antwerp
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Cheap,Urban Entertainment & Nightlife,Train,Newcastle upon Tyne
Medium,Cultural & Historical Exploration,Plane,Munich
Medium,Nature & Outdoor Adventure,Train,Sofia
Cheap,Cultural & Historical Exploration,Train,Tbilisi
Cheap,Cultural & Historical Exploration,Train,Bucharest
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Urban Entertainment & Nightlife,Train,Sheffield
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Belfast
Cheap,Urban Entertainment & Nightlife,Train,Antwerp
Medium,Urban Entertainment & Nightlife,Train,Belfast
Cheap,Cultural & Historical Exploration,Train,Sarajevo
Medium,Urban Entertainment & Nightlife,Train,Madrid
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Prague
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Cardiff
Medium,Urban Entertainment & Nightlife,Train,Milan
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Cultural & Historical Exploration,Plane,Athens
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Kyiv
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Belfast
Medium,Cultural & Historical Exploration,Plane,Budapest
Medium,Cultural & Historical Exploration,Plane,Athens
Medium,Cultural & Historical Exploration,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,London
Cheap,Relaxation & Wellness,Plane,Warsaw
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Relaxation & Wellness,Plane,Antwerp
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Relaxation & Wellness,Train,Stuttgart
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Train,Antwerp
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Sofia
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Train,Sarajevo
Cheap,Cultural & Historical Exploration,Train,Zagreb
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Rome
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Relaxation & Wellness,Train,Edinburgh
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Nature & Outdoor Adventure,Train,Belfast
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Cultural & Historical Exploration,Plane,Vienna
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Nature & Outdoor Adventure,Train,Belgrade
Medium,Cultural & Historical Exploration,Plane,Munich
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Relaxation & Wellness,Plane,Glasgow
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Expensive,Cultural & Historical Exploration,Plane,Basel
Cheap,Urban Entertainment & Nightlife,Train,Leicester
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Cheap,Relaxation & Wellness,Plane,Oslo
Medium,Urban Entertainment & Nightlife,Plane,Newcastle upon Tyne
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Relaxation & Wellness,Plane,Munich
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Manchester
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Madrid
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Urban Entertainment & Nightlife,Plane,Leeds
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Train,Milan
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Istanbul
Cheap,Urban Entertainment & Nightlife,Train,Saint Petersburg
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Expensive,Nature & Outdoor Adventure,Plane,Dublin
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Belfast
Medium,Cultural & Historical Exploration,Plane,Milan
Expensive,Cultural & Historical Exploration,Train,Milan
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Cheap,Relaxation & Wellness,Plane,Rome
Medium,Cultural & Historical Exploration,Plane,Milan
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Cheap,Cultural & Historical Exploration,Plane,Kyiv
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Tbilisi
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Urban Entertainment & Nightlife,Plane,Moscow
Cheap,Urban Entertainment & Nightlife,Plane,Amsterdam
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Istanbul
Cheap,Relaxation & Wellness,Plane,Edinburgh
Cheap,Cultural & Historical Exploration,Train,Zagreb
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Urban Entertainment & Nightlife,Train,Copenhagen
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Cultural & Historical Exploration,Train,Zagreb
Medium,Urban Entertainment & Nightlife,Train,Belfast
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Nature & Outdoor Adventure,Train,Kyiv
Expensive,Cultural & Historical Exploration,Plane,Rome
Expensive,Urban Entertainment & Nightlife,Train,Skopje
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Cultural & Historical Exploration,Train,Kraków
Expensive,Cultural & Historical Exploration,Plane,Moscow
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Medium,Cultural & Historical Exploration,Plane,Milan
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Train,Milan
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Berlin
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Cultural & Historical Exploration,Plane,Prague
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Skopje
Cheap,Relaxation & Wellness,Plane,Manchester
Cheap,Nature & Outdoor Adventure,Plane,Minsk
Cheap,Urban Entertainment & Nightlife,Train,Skopje
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Lisbon
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Cultural & Historical Exploration,Train,Baku
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Budapest
Medium,Urban Entertainment & Nightlife,Plane,Birmingham
Cheap,Urban Entertainment & Nightlife,Train,Milan
Cheap,Relaxation & Wellness,Plane,Helsinki
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Rome
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Manchester
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Plane,Birmingham
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Cheap,Urban Entertainment & Nightlife,Plane,Sarajevo
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Cultural & Historical Exploration,Train,Skopje
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
